,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_16,50.94403934,58.16526252,50.57139859,51.07793925,8.7357038,9.24281748,49.12153664,50.88185902,48.86467316,4.53962933,4.27100176,50.24556111,52.19673325,49.09454886,5.48832321,5.98210624,40.2689748,50.53321349,4.85486401,4.80819104,50.52930033,49.13954587,49.95591131,50.31747575,48.71065928,49.44978964,50.55424195,50.45524444,54.24282333,49.65124168,49.88621655,49.21388523,49.47216516,53.1745933,46.50584785,5.32408715,47.49634209,8.07139108,46.0923424,53.82458423,53.53911955,44.44050903,4.13136146,4.72406314,50.98051196,48.57427511,47.73661628,44.62968293,21.60786468,47.2186701,46.9323204,46.59448039,46.74290613,5.25872278,52.7019249,52.90063357,9.59015261,5.72643968,6.723439,48.73713936,9.76999091,9.69935247,45.23608003,54.11189375,46.72938863,46.92190575,46.9650262,44.78637073,3.11378671,48.20693903,44.67299642,10.23483528,20.98850455,47.23530858,4.98221064,46.5980293,48.18460129,44.92730811,48.27903761,47.04854745,6.53126591,47.98240151,8.37729255,5.0255307,46.75607007,46.94947503,49.75508924,48.70839987,48.93761715,49.30798824,51.18893547,49.0499388,9.05329432,48.90487875,51.64214233,51.56314349,49.6325922,49.00653738,48.42541268,53.87671098,52.24082046,49.08493896,52.12641029,40.70589384,6.03730545,5.87683554,51.19664394,29.546123,8.50255339,51.8888046,5.07676585,8.20686172,47.51420862,39.54731137,43.98402715,51.04464969,7.10560699,5.39721258,6.13536653,9.71630164,9.09212118,9.06624334,8.07708412,27.98100841,8.06417894,6.92941139,52.50352252,51.65797513,8.266476,4.97237715,7.8149046,8.84987436,8.53477536,48.11685856,38.77537702,46.57292195,47.79485474,40.47820722,7.41464704,42.97167387,13.277411,8.90630419,8.57103289,13.24618324,40.1727974,8.6995953,43.14618967,5.68786266,8.09253424,2.25715897,2.20805353,8.49666238,13.12656487,13.09796728,30.42213292,50.66221991,44.46873116,26.74071436,49.71852423,6.4565924,48.93626967,8.34054522,8.24827758,8.17390116,8.33591996,8.69104628,8.98508123,30.88451271,31.48019276,9.91253674,49.33383256,50.81297196,23.86939311,51.09731517,4.69177121,8.16707126,7.49032154,7.38071027,41.10207395,4.80578572,4.63625129,49.48539998,,,,,,,,,,,,,,,
Sequence_15,10.07151072,3.34270109,50.76272133,2.8000606,49.81918206,50.96209566,3.58313322,6.55473871,9.11094292,6.43159112,47.71710113,3.77579517,27.81771958,45.44636886,49.80390169,4.16390744,1.38549922,34.58784973,5.66433307,3.96776826,43.4247902,10.76593958,47.89444314,2.81486333,10.76813435,4.34374071,6.09096773,8.17259553,2.70932737,4.58393477,5.82478603,5.22745876,4.22865408,54.25162686,8.114293,2.13008976,5.06761563,47.07078525,6.74306239,3.0083206,5.81146542,3.36431548,47.98196294,6.41253246,4.99214724,42.9753837,5.78741241,6.37125581,4.46873073,4.11928178,2.6804707,2.8561075,2.81507641,3.39589029,6.90743855,5.12298352,53.23881984,50.00016413,53.91976268,6.58434744,52.87317428,52.78951425,4.94749989,55.36582584,4.0591439,3.80078599,36.67453176,5.41031138,49.64276987,3.8226058,4.24183009,2.62960512,17.88185185,3.10857983,6.84022716,4.72805197,4.92432994,4.22500346,49.11014507,8.33735456,45.63993835,4.45084734,53.8565996,53.46847008,2.84935462,3.40202542,4.20638297,3.6399904,4.55380384,4.28518503,9.35595491,44.6340716,13.20108955,7.21187304,2.62993267,2.80619393,4.08021897,40.23846827,19.49992674,11.94186663,3.54729134,11.18534548,5.68079672,50.29446875,43.15144142,43.25668297,5.4258389,6.94494736,52.51487244,7.70471362,46.12075799,29.29852993,5.05950798,50.73634068,46.12018249,6.74530726,13.83110738,50.56617501,47.27653262,46.61842391,46.23291917,42.79113407,44.22841379,10.34480991,8.57859572,46.49445256,52.9677088,11.14548241,9.32111914,49.42424894,51.29378585,46.49910265,43.94404821,5.80147019,47.6047362,7.68403913,6.61528825,49.01967983,46.63097939,13.67082743,36.56582779,46.73858166,44.22311469,16.930166,6.83404161,44.98901341,2.87525114,8.7905962,46.35945282,6.73549768,6.92129827,18.50695481,42.48592828,43.66253611,48.80941187,48.08475188,5.04692047,47.51185584,48.1616397,45.68676727,49.44536833,43.1123451,42.85474499,40.60973071,45.84363727,47.70130922,13.24821211,54.58512506,54.31433556,14.66877377,45.4495231,10.01965687,8.81105378,9.27412719,47.53088369,11.35234264,4.19578258,4.14924073,29.36628247,49.27396447,5.78787871,3.12890567,46.1656781,,,,,,,,,,,,,,
Sequence_14,49.35342357,56.22524577,5.76630981,51.43166965,8.84125196,9.30162018,50.13795932,49.18723788,49.55188732,5.22331072,4.93826242,50.47900141,49.42016962,8.29967506,3.80383848,46.14785446,42.74868118,48.5935341,3.69539478,38.30540521,50.99363324,49.40062279,7.31732552,49.81315703,45.93880402,51.00772945,50.74798595,50.51278528,54.37461758,50.58645127,50.62855525,49.97458178,50.68345702,54.87990683,38.73644367,47.16380042,51.1114497,8.81328615,45.72952558,54.28093674,53.93873152,45.95789666,6.44893406,6.92637945,6.28678528,49.86226099,49.1230804,47.30891882,8.91646555,35.31055552,46.81606737,46.7998533,46.95534484,47.31785097,53.47557542,53.64613154,9.47676655,10.4097241,3.54594538,49.15101335,9.59776704,9.51070117,47.44442096,10.16452386,48.78602774,48.75299296,40.68258759,48.76857344,8.52944778,45.73422851,46.21070616,48.89168387,7.38409658,34.66407092,10.46799424,49.28027783,48.42816571,48.82127214,9.62772477,7.33305411,9.70931368,44.93453499,10.52330024,5.85169487,47.08516536,47.13782403,49.70381916,49.03051468,49.72859816,49.56263133,49.63248143,49.39560118,10.39916146,48.35532876,51.44745769,51.42479505,52.185813,49.94653933,48.40722796,54.32231795,50.35310968,50.78658975,49.09641127,46.96534504,9.66918046,9.53537901,51.89549412,34.40228877,6.29849036,49.27760521,6.22782737,5.67335482,48.07126922,51.68308029,49.54089765,50.30589704,4.55827227,9.04106185,8.35077266,5.80481044,6.17391709,6.46331141,7.06203633,9.0630451,6.7864551,7.78833331,51.54868134,49.85042718,8.44022229,8.90716693,8.9235665,9.27574446,11.34771157,45.52615122,45.59189649,46.23981676,45.76431338,11.30934555,44.47714459,7.67076591,5.82896903,9.75855868,10.63645639,6.65212878,46.4911362,9.48869447,43.40556261,11.87857131,9.3033488,7.10275379,8.71380678,3.89982846,11.09877929,11.13456438,49.14798834,50.94291126,47.12023709,50.60892196,11.70041018,5.01323862,51.80428765,9.08063024,8.89428848,8.82489176,8.65280778,7.3646762,9.85563385,53.53334751,53.4896456,10.98043142,10.19685517,46.70110955,51.4605949,51.36240163,7.51229235,14.02085352,5.3495839,5.30755476,44.67886521,9.74856042,46.06592562,50.90796007,7.14629043,46.69407726,,,,,,,,,,,,,
Sequence_13,3.4318894,54.81725692,6.01460561,6.45273954,7.78901505,7.26321895,31.91760496,48.43591156,2.14813269,4.68789342,3.37487578,41.89048157,3.45377636,49.55536976,5.45491977,6.90496633,6.02330226,4.50232,27.07534536,45.69711338,5.69508331,45.45208536,4.91231069,46.25358825,43.40899873,47.86283658,48.6329759,48.37213522,51.17093811,47.71183111,45.7968089,45.96676775,47.25453843,54.80159046,24.8515573,45.52129725,49.71766265,7.36780179,41.77765917,50.61486733,50.98272953,37.478363,7.59866018,8.42600071,47.75990817,42.6729164,4.14040717,45.5031719,44.31235445,14.03526424,43.61548918,42.80630336,43.25603182,37.68224116,50.30488222,49.70779666,5.71675681,7.5951229,53.36380887,34.96867473,6.20783727,6.42602752,41.93644454,55.75368827,38.50547899,39.30904989,45.89133633,8.24637881,9.66801691,46.68432034,37.3748651,47.33455551,4.91838724,40.73421522,6.91527667,7.77484866,36.09789781,43.99156059,23.75450293,49.13843149,4.56404404,47.59791225,9.10760823,4.24595248,14.7175566,22.36812542,4.47617869,4.58881927,4.57349564,4.40698338,51.76941889,6.9591074,8.11360937,45.53505718,7.16843388,80.47254461,50.15070894,47.91060707,48.98962217,52.01116019,50.83721344,48.18344095,50.17909446,7.85829888,9.47021775,9.84892003,54.37485197,51.74169132,9.62436391,49.62680395,4.62079837,5.11333914,51.10084027,48.74944696,6.70288962,50.0786488,4.34557597,6.84921184,10.1310205,5.22242402,4.82822692,4.9540669,11.66385476,51.20039288,4.85558162,7.35093667,10.95039966,13.1417405,10.50095539,8.73811793,7.68184872,11.80506205,9.38489989,49.74458466,50.68689295,50.27535457,49.74306174,52.72199368,49.08245872,7.39328055,6.06660999,9.45039374,10.29350639,8.18768254,8.76855801,6.46551163,47.932256,11.09316696,6.26354531,49.44654016,48.05514599,5.92061541,11.3510892,11.3597996,50.22919818,48.71542134,34.3211926,6.64830696,51.76940296,7.19822269,53.25225561,4.94565016,4.75686461,3.8624839,11.3722066,47.307726,9.53124248,8.61549828,9.49374665,10.73086029,38.01044034,50.83778622,51.86137611,81.00284402,13.41553976,8.19765149,8.29968546,8.19908953,46.04979012,7.98437887,47.0233248,50.4252309,10.76536178,50.23989513,6.59260098,,,,,,,,,,,,
Sequence_12,3.4318894,54.81725692,6.01460561,6.45273954,7.78901505,7.26321895,31.91760496,48.43591156,2.14813269,4.68789342,3.37487578,41.89048157,3.45377636,49.55536976,5.45491977,6.90496633,6.02330226,4.50232,27.07534536,45.69711338,5.69508331,45.45208536,4.91231069,46.25358825,43.40899873,47.86283658,48.6329759,48.37213522,51.17093811,47.71183111,45.7968089,45.96676775,47.25453843,54.80159046,24.8515573,45.52129725,49.71766265,7.36780179,41.77765917,50.61486733,50.98272953,37.478363,8.48086939,9.13969193,5.94348669,42.6729164,4.14040717,45.5031719,44.31235445,14.03526424,43.61548918,42.80630336,43.25603182,37.68224116,50.30488222,49.70779666,5.71675681,7.5951229,53.36380887,34.96867473,6.20783727,6.42602752,41.93644454,55.75368827,38.50547899,39.30904989,45.89133633,8.24637881,9.66801691,46.68432034,37.3748651,47.33455551,4.91838724,40.73421522,6.91527667,8.99137835,37.89211856,43.99156059,23.75450293,49.13843149,5.20618523,43.81682091,9.10760823,4.24595248,14.7175566,22.36812542,4.47617869,4.58881927,4.57349564,4.40698338,51.76941889,4.61318227,8.11360937,45.53505718,51.90719282,52.16017071,51.16441905,47.91060707,48.74062093,52.05673607,51.0221175,47.82604634,50.17929737,8.70361607,9.47021775,9.84892003,54.37485197,51.74169132,9.62436391,49.63157336,4.8218412,5.11333914,51.10084027,48.64273814,6.70288962,50.26194587,4.34557597,6.84921184,10.1310205,5.22242402,4.82822692,4.9540669,12.03037077,51.21723286,4.85558162,7.35093667,12.27144119,13.1417405,10.50095539,9.04130302,8.2080232,11.80506205,9.38489989,49.74458466,50.82240531,50.27535457,49.74306174,52.72199368,49.25343975,8.02575969,6.06660999,9.45039374,10.29350639,8.18768254,9.91847356,6.83254107,47.63052156,11.4276392,5.69043623,49.58369098,48.23531209,6.17016377,11.73327516,11.74188527,50.24176973,48.87681491,36.60643264,6.64830696,48.23578026,7.19822269,53.31499221,5.18506604,4.98483344,4.02043219,11.3722066,45.75186931,9.53124248,8.01689441,9.0341312,10.73086029,39.29703912,50.77314366,51.95541751,53.76982637,12.95824017,8.53172729,8.42420591,8.32777797,45.88973471,7.98437887,47.28606009,50.53351721,11.13934102,50.35776165,6.85620004,0.02306016,,,,,,,,,,,
Sequence_11,55.11856001,8.91884477,6.78206727,54.65423778,4.21936025,5.29693968,3.20934508,6.15637154,56.80392843,8.93985861,8.6324539,54.22547381,55.1485864,4.11562167,6.40779812,54.31271651,52.61440449,55.07307647,51.5116728,53.56106119,12.07340262,55.15170498,5.72257119,56.08728245,5.50461421,52.90069713,54.17716006,54.6160399,53.91569458,29.75657939,53.58231145,53.1234823,52.67830623,7.37214534,9.17791696,14.26715146,55.05607865,4.46259305,54.37398549,6.75383381,54.07688597,6.97868977,4.77260722,5.38582425,53.15754131,54.82514579,41.14393107,6.36445596,5.85453409,51.44485944,51.94673281,52.20273088,52.02993223,54.3649041,55.19972794,53.87091964,11.01425126,9.03344352,54.19287888,51.52359906,11.68873098,11.66578333,52.52730615,56.51358737,53.33512441,53.03097033,51.50400542,50.66843833,7.72807365,53.05644883,52.26182985,54.24966334,49.29611562,6.69390258,8.46156262,51.70172837,51.73579131,53.2291418,52.49436283,52.08485146,8.14796408,52.71466972,5.55912627,5.37500685,50.39593828,50.40473821,53.11362754,53.10355601,53.08505981,53.06519358,51.8563126,51.07439286,7.62649863,41.30295785,53.05746615,53.11252192,48.13709248,52.87086958,10.79559016,54.41398685,51.67488608,52.12290795,52.4063721,54.06908399,10.00872785,10.11121089,54.41081862,53.14656313,6.75050141,53.24452263,5.30665789,5.71937072,13.863641,53.306105,50.9426428,53.94354422,4.38223769,7.72765775,5.80541362,5.27938132,4.93370425,4.90439102,10.50910382,9.62945555,6.16525729,6.90201366,54.01857349,52.10753083,10.63650477,12.90812053,4.56539315,8.35713933,7.01604318,48.39503858,19.927218,49.05324979,48.36474054,8.00419619,51.56061479,5.5244706,8.13028462,7.92742734,9.67389884,6.49490306,51.18415909,50.04349483,46.41790317,4.8608758,8.68916216,48.81478712,48.91910731,7.97098341,12.17026462,12.22211741,52.24847406,30.46157863,50.76597131,53.25473753,47.17050647,7.21519086,51.84095628,11.31036828,10.72099637,8.78357458,7.11477564,11.00140509,10.32159731,54.01398477,53.56810049,7.30577584,50.25894875,6.70528658,20.12937109,53.18597988,10.70784613,8.99411897,5.68702623,5.49908853,46.77928824,4.7312408,49.69049669,11.09666078,8.21699142,8.04451575,6.6681955,8.52558329,8.52558329,,,,,,,,,,
Sequence_10,6.64775497,56.24169031,51.19986904,3.44306626,5.13236229,4.65289979,5.28443925,49.90836713,12.81035692,7.14616185,6.8023516,48.45735738,45.16609173,49.61977801,7.36632113,5.03882989,1.70205964,45.35652041,7.88545463,6.78735092,47.06831087,5.89256673,49.45845096,14.56078697,3.79204386,48.73185392,48.02994719,48.83045726,3.21656004,49.78594261,47.41110045,47.05529114,49.87221726,55.3443692,44.20170242,4.2380246,3.65701793,5.22598371,41.87872701,3.13303856,55.12018317,3.61987933,7.88167696,8.6360656,46.69022081,45.4964106,38.51283951,27.27130852,12.88585049,21.23825208,42.16853524,42.66666385,42.68250358,4.54762849,54.05158025,53.93414113,52.21242018,3.92751135,47.15090859,9.00546984,49.5455395,49.32206217,39.10026378,54.04807558,3.95506102,7.31108132,44.43382181,4.88393651,7.60695271,43.21199779,8.88035707,42.93388018,18.02146105,9.74986716,3.29276496,3.30361032,40.08020566,25.23204996,45.3744965,48.97024923,5.70043772,44.75921687,8.92706778,9.32771932,3.57352865,3.3005737,3.00129272,2.96112793,3.00617433,3.04386485,39.12067269,52.85179804,7.72733975,43.93927677,49.50227546,49.67333569,51.28926351,3.34531994,43.74513446,53.96002393,48.62400097,51.87042634,46.16861569,9.10486926,6.44696424,6.11883036,5.27113768,48.18213857,8.29035486,50.28422487,6.59750753,11.67359361,45.48865535,46.49153343,44.2180938,6.86983231,7.83629965,4.41052733,4.15972701,9.80350541,9.27194598,7.23298985,7.55128014,46.7497736,11.28583346,4.47184182,50.50583111,39.87791526,9.67411204,9.24935537,7.65321198,9.97818047,4.71437458,9.17493425,12.37240416,7.59565176,9.05079349,48.8976048,37.03718578,7.29489092,8.20192014,8.12957269,11.21941897,10.5062118,45.08391713,48.88471925,46.97285922,5.09012031,10.50584789,6.44463031,7.80370456,8.31663895,10.48346658,10.523111,45.0424144,49.18183245,30.88287679,9.59097912,51.65063682,5.31447864,23.76620954,11.0277599,10.91088354,9.75329971,7.39309445,15.33530045,5.27319291,52.21881113,52.39405626,6.20560969,5.59044458,22.13461886,49.86938039,52.2523961,7.84901807,9.12185017,1.14395953,1.13156517,8.19134666,6.93134426,7.61568647,51.55227374,3.2998851,47.83168602,7.79136586,8.08660369,8.21568934,6.09188717,,,,,,,,,
Sequence_9,56.39598356,57.95397005,52.19546376,48.5096279,2.85332853,2.93300771,51.22504342,55.03936813,54.62890994,6.73622659,6.5700664,55.06124324,55.34899992,55.42568769,7.59849153,55.48105414,55.4805885,55.67709155,55.19184873,48.86675453,6.70659193,9.43528269,54.94885367,28.97845409,52.98097196,54.3694099,14.1964117,12.27315355,8.73354122,55.09664466,55.04623154,55.13714487,55.01123459,53.13404668,53.61416905,50.91611057,16.40795767,3.32601476,51.45680286,7.70742991,5.22434298,51.96166207,8.27020587,8.92019334,6.36569387,53.24933554,52.15241338,52.98929306,53.30846218,4.99493239,52.33706439,52.50493278,52.34814564,36.56265296,6.6030121,7.31683221,55.44665413,8.64267191,55.94259391,46.31102518,30.18450365,29.9073989,52.79753362,54.54058334,45.48675605,39.94816676,53.05377528,52.11541884,9.06150833,52.67620404,49.11035975,49.64118082,50.46365725,14.04106509,8.80190208,52.76545112,53.00369511,52.3778079,52.9533686,53.4028201,9.11276509,51.16057446,9.34002534,13.03428267,48.85413771,48.88785999,52.20613878,51.88114801,52.22512853,52.20673522,53.05198222,4.48845165,7.71469577,50.16684993,54.97147707,55.10717853,54.03654658,30.47658232,8.79656556,53.07832629,52.3867623,50.50782876,7.01763339,52.60811628,7.94015674,7.94325003,50.99009877,8.75834167,8.66465205,52.3962294,8.73286531,7.45058681,49.89712422,7.35669367,52.49134137,51.23254804,8.00428217,6.20056294,8.85409605,4.97851457,5.98595668,5.09102009,4.39473429,5.40292506,8.77343424,5.96727441,54.18121304,11.99135364,7.16268193,9.67498743,6.82130369,7.51249374,7.31223404,9.0044062,7.57076351,9.12431209,8.59665718,52.13569149,47.67846389,47.47561916,4.00700698,7.03334302,8.12694678,7.31570321,50.84523629,49.6891296,42.03073628,8.93918449,7.92843528,50.8380786,51.12242561,11.2971959,11.07838615,11.12495533,52.3139494,8.25117326,50.9389167,9.62754832,51.3295029,10.70174112,17.96663492,11.13650617,10.98789204,11.51998164,6.36953685,40.95641297,7.16181456,7.07638154,5.56348605,7.79879689,49.22733996,8.42595037,17.63901161,53.74785866,5.24611223,8.04971626,5.92677852,5.87506315,48.00517177,8.07971698,50.41976086,52.21184584,8.89140622,45.05107001,8.79581681,11.28955192,10.54302628,9.46987033,6.56277718,,,,,,,,
Sequence_8,6.64775497,56.24169031,51.19986904,3.44306626,5.13236229,4.65289979,5.28443925,49.90836713,12.81035692,7.14616185,6.8023516,48.45735738,45.16609173,49.61977801,7.36632113,5.03882989,1.70205964,45.35652041,7.88545463,6.78735092,47.06831087,5.89256673,49.45845096,14.56078697,3.79204386,48.73185392,48.02994719,48.83045726,3.21656004,49.78594261,47.41110045,47.05529114,49.87221726,55.3443692,44.20170242,4.2380246,3.65701793,5.22598371,41.87872701,3.13303856,55.12018317,3.61987933,7.88167696,8.6360656,46.69022081,45.4964106,38.51283951,27.27130852,12.88585049,21.23825208,42.16853524,42.66666385,42.68250358,4.54762849,54.05158025,53.93414113,52.21242018,3.92751135,47.15090859,9.00546984,49.5455395,49.32206217,39.10026378,54.04807558,3.95506102,7.31108132,44.43382181,4.88393651,7.60695271,43.21199779,8.88035707,42.93388018,18.02146105,9.74986716,3.29276496,3.30361032,40.08020566,25.23204996,45.3744965,48.97024923,5.70043772,44.75921687,8.92706778,9.32771932,3.57352865,3.3005737,3.00129272,2.96112793,3.00617433,3.04386485,39.12067269,52.85179804,7.72733975,43.93927677,49.50227546,49.67333569,51.28926351,3.34531994,43.74513446,53.96002393,48.62400097,51.87042634,46.16861569,9.10486926,6.44696424,6.11883036,5.27113768,48.18213857,8.29035486,50.28422487,6.59750753,11.67359361,45.48865535,46.49153343,44.2180938,6.86983231,7.83629965,4.3689817,4.10998366,9.80350541,9.27194598,7.23298985,7.55128014,46.7497736,11.30776655,4.27206179,50.50583111,39.75583406,9.65068044,9.24935537,7.65321198,10.14128413,4.65264578,9.07275371,12.86515832,7.82787085,8.95672169,48.89214107,38.81146051,7.29489092,8.52573302,7.9250303,10.92996385,10.09523691,45.08391713,48.93726404,47.21393793,5.05789584,10.90954563,6.58380291,7.26155211,8.18886533,10.03693282,10.07853479,45.0424144,49.29018679,29.834058,10.29157621,51.59954624,4.76978124,22.91980862,10.48247932,10.36046597,9.27346641,7.46993913,15.33530045,5.11764304,52.21881113,52.39405626,6.03873156,5.7310857,22.13461886,49.86332409,52.2523961,7.91884346,8.93607751,1.10471086,1.09324027,8.58360579,6.57589814,7.27757334,51.55227374,3.96425548,48.24995876,7.96261874,7.98328308,8.11182638,5.69907542,0.07904713,6.50852915,,,,,,,
Sequence_7,3.5430911,52.48461406,7.09776081,44.91261086,44.973234,38.04985994,45.61018659,8.34545882,6.65699462,47.54206186,44.72193634,17.42590101,3.79911008,29.90370034,28.24481517,5.59455086,5.61721307,3.05493637,47.22630779,45.43408512,43.09386394,51.41022592,8.7426046,8.68495893,47.78875991,4.34621972,3.21864303,4.2824127,54.44130927,2.79034848,4.43460414,7.14354649,3.100101,8.34266321,43.33664676,46.32633312,6.6414266,45.2734659,10.89367183,56.28452089,53.05239042,48.3469219,44.57407828,46.83788394,47.7509848,5.22369596,41.35074479,45.44801421,47.00392924,42.3713976,44.21769201,41.62279091,42.22866332,2.42276626,2.76470984,3.35403382,5.59011909,5.74633521,7.23807667,6.51017063,5.61105499,5.47404624,38.01682726,52.3611654,8.82262207,44.42583135,3.2877752,45.31151536,52.72704619,8.59385865,46.55769826,5.67606045,6.15657136,46.90267247,6.44850583,9.56849104,42.25991954,8.51878997,7.31768122,5.44513244,48.06455953,16.16939338,9.29251296,52.96293027,46.75513423,46.78897822,49.11268773,48.42015203,49.62325228,49.16048469,53.15035641,7.56381325,50.94923848,6.21505286,51.31565242,51.23668637,51.89650724,5.35291915,7.02743595,54.03448682,51.70132806,11.47685486,51.02124418,7.62964664,5.48248251,5.4469172,51.92277326,50.13156457,10.27587514,50.83250998,5.39846087,51.51458035,5.57355894,49.93822369,3.77041213,45.73113827,48.33924271,6.38401234,7.55615136,43.83722105,43.76024111,43.71204415,48.95482064,50.6404698,46.08941207,8.77990785,51.55970018,50.79448569,10.6665223,51.3909708,9.72661714,10.53419335,6.19224341,47.59477586,17.51503731,47.00002449,47.71010142,6.86184689,9.34335429,47.81552548,49.0262595,10.98413355,12.58073695,54.28769706,46.15751992,45.28632437,33.37225546,9.12739229,5.08318022,42.97482319,43.43070594,8.41016746,46.40283524,46.43376731,49.32877141,47.91026365,41.66005097,49.3349694,50.95768024,46.8453195,45.66741298,43.49227274,42.40914865,37.30178682,11.86436631,40.66349181,10.39685692,8.03437764,11.63327574,12.17067165,47.70839017,49.83189792,51.10328675,13.0859524,4.62061288,8.47970052,50.59454688,50.6004261,5.76471612,22.89189341,44.69558345,9.54145572,7.69794464,37.53038035,10.82029871,49.41846951,49.52612922,50.1128067,51.11470146,11.15199109,51.13839603,,,,,,
Sequence_6,3.5430911,52.48461406,8.5425328,44.91261086,44.973234,38.04985994,45.61018659,8.34545882,6.65699462,47.54206186,44.72193634,17.42590101,3.79911008,29.90370034,28.24481517,5.59455086,9.00199453,3.05493637,6.16332577,44.72803359,42.58760023,51.47656228,10.71964566,8.68495893,47.98306317,3.76842845,2.81636034,3.70023003,53.9272844,2.40019736,3.62340512,5.24063837,2.67558025,9.02393195,13.27213163,45.84999551,5.65114128,44.77667564,7.12496479,53.64401816,7.46726663,47.55135327,44.57407828,46.83788394,47.7509848,5.53464193,5.26779689,45.12663256,46.98834579,42.27409771,43.665038,40.71333779,41.41548677,2.90521942,3.58725159,4.13310112,6.32749067,5.0263096,7.71939541,6.62377811,6.52454087,6.40375811,27.53035407,52.3611654,6.07370529,43.87340634,2.92799986,44.93260194,52.8363141,6.94672513,46.20523223,4.89185395,6.11979807,47.11086473,5.83819062,9.85999197,9.25600434,8.87818112,7.18266683,4.43371214,47.99440798,9.35555299,9.46999943,53.01898622,46.92576272,46.9573648,49.19942664,48.5250562,49.70612673,49.24606176,53.25880065,7.69721262,50.99210006,5.41961391,51.37524906,51.2958741,51.95331751,5.49651888,6.9900269,54.03039717,51.90675212,10.84081661,51.22589874,7.79401226,5.027543,4.98911465,52.09973375,50.20871592,10.03673289,51.06035254,6.31931841,51.62284471,5.16155386,50.00679193,4.00919469,45.45815807,48.68985271,5.90941712,7.69434159,44.94295881,44.89664193,44.81589828,49.01101275,50.70180013,46.76297494,8.90733662,51.60577876,50.7878097,10.46324335,51.386903,9.61727233,10.53079216,5.82753206,47.59019989,18.84607687,47.09739808,47.70541773,56.85453737,9.69928478,48.17285788,49.30427107,10.76628472,12.27899025,54.26564228,45.96390079,45.45204447,35.11778456,9.25665204,5.02233303,42.76257377,43.2381766,8.85254902,46.39889386,46.4474669,49.42799259,47.94006954,40.91288516,49.24234468,50.81891653,46.90491108,45.9589303,43.68875261,42.6200864,36.96712044,11.61001638,41.36561716,10.67705556,7.91923625,10.9148123,12.44699055,47.80862233,49.86087725,51.14162707,11.65094252,4.86053967,8.50586589,50.74377144,50.74966437,5.28871746,22.81819344,44.44628311,9.65134827,6.43728877,37.77365385,11.28768027,49.6498259,49.74270019,50.22870783,51.10495703,11.29621468,51.12832438,0.05539755,,,,,
